Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6
ADAMTS8	Other	0.0688112002424082	0.184381202091665	0.0904389636369577	0.0731862543404013
ADAMTS9	Other	0.366765082104003	0.251197135070445	0.118030508581508	0.222486211937985
ADAMTSL1	Other	0.0137470781288802	0.102382549811007	0.166168519646564	0.180113785535888
ADAMTSL2	Other	0.0171291746630962	0.064736448398228	-0.0499235815871228	0.110758133031187
ADAMTSL3	Other	0.296870855044825	0.319152171029854	0.278365695781036	0.174582325584382
ADAMTSL4	Other	-0.0157432430242609	0.156966366020689	0.0531496129803549	0.0427547010032316
ADAMTSL5	Other	0.0940005562316052	-0.138359798281561	-0.0695697889344773	-0.245073742235008
ADAP1	Other	-0.0462859608955291	0.0743198434527197	0.0646146144765705	-0.000889057544075644
ADAP2	Other	-0.195283597250446	-0.155306883853741	-0.0912383287642909	-0.21712528976226
ADAR	Other	-0.545885739595177	-0.668026529698428	-0.627565037633879	-0.619389605383669
ADARB1	Other	0.0450106936842798	0.0262874379086471	0.123432905423203	0.127500076744315
ADARB2	Other	0.0245817736493099	0.224886401578521	0.182914529486217	0.212900656981199
ADAT1	Other	-0.167907960829801	0.0644069424368762	-0.00907013877108467	-0.0510398175369836
ADAT2	Other	-0.862427138224339	-0.966547542241237	-0.753348109708842	-0.717305787864042
ADAT3	Other	-0.324783504465524	-0.429443878617789	-0.405568155640807	-0.38290187687947
ADCK1	Other	0.0815170455617298	0.0588504418397791	0.00561491408070847	0.0380599027626847
ADCK2	Other	0.189702483923613	0.228430429033964	0.120092599032778	0.0476867369168491
ADCK3	Other	0.120990266486812	0.166358311197641	0.172796496762674	0.0447587298255095
ADCK4	Other	-0.0728170786278059	0.0878214956198247	-0.0167886463178137	-0.106639574944287
ADCK5	Other	0.102341555426331	0.0846145612355962	-0.0156210070298834	0.185681607579109
ADCY1	Other	0.333048163059101	0.102393082636403	0.17853066211422	0.141352267863778
ADCY10	Other	0.252778158860684	0.149184122273033	0.253015049151613	0.108570367178307
ADCY2	Other	0.104818620303936	0.123415305539	0.171708391085456	0.0982475646436802
ADCY3	Other	-0.376122243080526	-0.539022471627397	-0.319674356230128	-0.371261989682949
ADCY4	Other	0.0591030529064756	-0.00900562173006403	-0.0817952480584193	-0.0828213535120096
ADCY5	Other	0.274209235133985	0.0928586375369794	0.241508003372589	0.095762683434784
ADCY6	Other	0.0754939145518784	0.109999719392782	0.0264608934164831	0.0497164302712061
